detecteddistrict,detectedstate,population,long,lat
Moradabad,Uttar Pradesh,3126507,78.78333,28.83333
Morbi ,Gujarat,960329,70.83333,22.81667
Morena,Madhya Pradesh,1965970,78,26.5
Morigaon,Assam,957423,92.194349,26.29226
Muktsar,Punjab,901896,74.515,30.475
Mumbai,Maharashtra,3085411,72.83333,18.96667
Mumbai Suburban,Maharashtra,9356962,72.83333,19.05
Mungeli ,Chhattisgarh,701707,81.67,22.067
Munger,Bihar,1367765,86.47,25.38
Murshidabad,West Bengal,7103807,88.26,24.14
Muzaffarnagar,Uttar Pradesh,2869934,77.58333,29.45
Muzaffarpur,Bihar,4801062,85.45,26.07
Mysore,Karnataka,3001127,76.64333,12.30306
Nabarangapur,Odisha,1220946,82.55,19.23333
Nadia,West Bengal,5167600,88.5,23.4
Nagaon,Assam,1892550,92.68333,26.33333
Nagapattinam,Tamil Nadu,1616450,79.833,10.767
Nagarkurnool ,Telangana,861766,78.3333,16.4833
Nagaur,Rajasthan,3307743,73.384903,27.16092
Nagpur,Maharashtra,4653570,79.08306,21.15389
Nainital,Uttarakhand,954605,79.45,29.38
Nalanda,Bihar,2877653,85.52,25.2
Nalbari,Assam,771639,91.43,26.42
Nalgonda,Telangana,1618416,79.27,17.05
Namakkal,Tamil Nadu,1726601,78.16667,11.23333
Namsai ,Arunachal Pradesh,95950,93.37,27.06
Nanded,Maharashtra,3361292,77.33333,19.15
Nandurbar,Maharashtra,1648295,74.25,21.36667
Narayanpur,Chhattisgarh,139820,81.25,19.71667
Narmada,Gujarat,590297,72.616582,23.082377
Narsimhapur,Madhya Pradesh,1091854,79.2,22.95
Nashik,Maharashtra,6107187,73.78333,20
Navsari,Gujarat,1329672,72.92306,20.95056
Nawada,Bihar,2219146,85.53,24.88
Nayagarh,Odisha,962789,85.1,20.13
Neemuch,Madhya Pradesh,826067,74.865302,24.467262
New Delhi,Delhi,142004,77.2,28.7
Nicobar,Andaman and Nicobar Islands,36842,92.76109,9.15734
Nirmal ,Telangana,709418,78.364607,19.124803
Nizamabad,Telangana,1571022,78.1,18.68333
Noney ,Manipur,36671,93.94169,24.80668
North,Delhi,887978,88.55,27.52
North and Middle Andaman,Andaman and Nicobar Islands,105597,92.9,12.92
North District,Sikkim,43709,88.55,27.52
North East,Delhi,1378779,77.221449,28.633862
North Garo Hills ,Meghalaya,118300,90.727408,25.861001
North Goa,Goa,818008,73.8245,15.4938
North Tripura,Tripura,417441,92.25346,24.092821
North Twenty Four Parganas,West Bengal,10009781,88.44383,22.68002
North West,Delhi,3656539,77.303877,28.635056
Nuapada,Odisha,610382,82.76,20.31
Osmanabad,Maharashtra,1657576,76.05,18.16667
Pakur,Jharkhand,900422,87.85,24.63
Palakkad,Kerala,2809934,76.651,10.775
Palamu,Jharkhand,1939869,84.07,24.03
Palghar ,Maharashtra,2990116,72.77,19.7
Pali,Rajasthan,2037573,73.32333,25.7725
Palwal,Haryana,1042708,77.33,28.15
Panch Mahals,Gujarat,1642268,73.4627,22.6078
Panchkula,Haryana,561293,76.85028,30.69444
Panipat,Haryana,1205437,76.96667,29.38333
Panna,Madhya Pradesh,1016520,80.18,24.72
